C2950	C3910
C13202	C13404
C2991	C7057
C97927	C36391
C97928	C97926
C1000	C1504
C1504	C530
C63923	C131123
C10000	C61007
C61007	C62633
C405	C574
C405	C697
C507	C243
C507	C2360
C662	C798
C662	C475
C770	C521
C855	C2089
C855	C1821
C100000	C99521
C99521	C119202
C99521	C49803
C12686	C12919
C101859	C66830
C61410	C54443
C66830	C61410
C100001	C99521
C100002	C99521
C100003	C80449
C80449	C50818
C12729	C13023
C101858	C66830
C100004	C80430
C80430	C49236
C100005	C15839
C15839	C15857
C100006	C139982
C139982	C15839
C100007	C99896
C99896	C101883
C99896	C35552
C101864	C66830
C100008	C99521
C100009	C99896
C10001	C63510
C63510	C62634
C456	C67502
C633	C697
C933	C932
C933	C67422
C160952	C160950
C167078	C167077
C167080	C167078
C100010	C99540
C99540	C191434
C99540	C80430
C100011	C63169
C63169	C63007
C101866	C66830
C100012	C50797
C50797	C45525
C12727	C13018
C12779	C12919
C12905	C25444
C100013	C62433
C62433	C50754
C62433	C35552
C100014	C111103
C111103	C111101
C100015	C99521
C100016	C25476
C25476	C21514
C101855	C66830
C100017	C80430
C100018	C35053
C35053	C50635
C35053	C53458
C100019	C111103
C10002	C61063
C61063	C62633
C505	C94728
C505	C2021
C642	C2153
C642	C511
C100020	C35317
C35317	C35740
C33854	C25762
C101850	C66830
C100021	C35552
C35552	C36278
C101837	C66830
C101838	C66830
C100022	C49803
C49803	C49163
C156952	C54443
C158037	C158520
C158520	C156952
C100023	C35317
C100024	C37254
C37254	C100104
C37254	C35552
C101844	C66830
C100025	C99896
C100026	C99896
C100027	C99896
C100028	C99896
C100029	C99896
C10003	C61063
C857	C1331
C100030	C80430
C100031	C49236
C49236	C25218
C101856	C66830
C100032	C35552
C100033	C50479
C50479	C50483
C100034	C99896
C101862	C66830
C100035	C62961
C62961	C62937
C100036	C111103
C101852	C66830
C100037	C100032
C101861	C66830
C100038	C100032
C100039	C100032
C10004	C61063
C100040	C100021
C101841	C66830
C191200	C173382
C191200	C167405
C191388	C191200
C191400	C191388
C191671	C191200
C100041	C100021
C100042	C100021
C100043	C100021
C100044	C99546
C99546	C80430
C100045	C49235
